Unique_ID,Broad_Classification,SWAT_File,database_table,DATABASE_FIELD_NAME,SWAT_Header_Name,Text_File_Structure,Position_in_File,Line_in_file,Swat_code_type,SWAT_Code_Variable_Name,Description,Core,Units,Data_Type,Minimum_Range,Maximum_Range,Default_Value,Use_in_DB
113,SIMULATION,print.prt,print_prt,pco%sd_chan_reg%d,pco%sd_chan_reg%d,unique,2,21,derived_type,pco%sd_chan_reg%d,pco%sd_chan_reg%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
114,SIMULATION,print.prt,print_prt,pco%sd_chan_reg%m,pco%sd_chan_reg%m,unique,3,21,derived_type,pco%sd_chan_reg%m,pco%sd_chan_reg%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
115,SIMULATION,print.prt,print_prt,pco%sd_chan_reg%y,pco%sd_chan_reg%y,unique,4,21,derived_type,pco%sd_chan_reg%y,pco%sd_chan_reg%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
116,SIMULATION,print.prt,print_prt,pco%sd_chan_reg%a,pco%sd_chan_reg%a,unique,5,21,derived_type,pco%sd_chan_reg%a,pco%sd_chan_reg%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
117,SIMULATION,print.prt,print_prt,pco%recall_reg%d,pco%recall_reg%d,unique,2,22,derived_type,pco%recall_reg%d,pco%recall_reg%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
118,SIMULATION,print.prt,print_prt,pco%recall_reg%m,pco%recall_reg%m,unique,3,22,derived_type,pco%recall_reg%m,pco%recall_reg%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
119,SIMULATION,print.prt,print_prt,pco%recall_reg%y,pco%recall_reg%y,unique,4,22,derived_type,pco%recall_reg%y,pco%recall_reg%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
120,SIMULATION,print.prt,print_prt,pco%recall_reg%a,pco%recall_reg%a,unique,5,22,derived_type,pco%recall_reg%a,pco%recall_reg%a parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
121,SIMULATION,print.prt,print_prt,pco%water_allo%d,pco%water_allo%d,unique,2,23,derived_type,pco%water_allo%d,pco%water_allo%d parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
122,SIMULATION,print.prt,print_prt,pco%water_allo%m,pco%water_allo%m,unique,3,23,derived_type,pco%water_allo%m,pco%water_allo%m parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
123,SIMULATION,print.prt,print_prt,pco%water_allo%y,pco%water_allo%y,unique,4,23,derived_type,pco%water_allo%y,pco%water_allo%y parameter from in_sim%prt via basin_print_codes_read,no,none,derived,0,999,1.0,yes
